"file","station","start_time_utc","start_time_pt","start_longitude_dd","start_latitude_dd","depth_bin_mid_m","mean_fluor"
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,2.75,10.3881939814815
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,3.25,9.99167642079806
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,3.75,10.1703294871795
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,4.25,9.48383521126761
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,4.75,10.484655
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,5.25,10.34742
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,5.75,11.1196989473684
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,6.25,11.0695844444444
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,6.75,10.5757271186441
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,7.25,10.7381466666667
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,7.75,10.7837314814815
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,8.25,10.91700625
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,8.75,10.4426666666667
"cast003_24Hz.cnv","TR_MA_D1",2018-07-06 15:18:18,2018-07-06 08:18:18,-124.267,41.0585,9.25,10.0416061538462
